title,search,colour
ELB,Arch_Elastic-Load-Balancing_64.svg,Orange_
Lambda,Lambda,Orange_
EC2,Arch_Amazon-EC2_64,Orange_
AutoScaling,Arch_Amazon-EC2-Auto-Scaling_64.svg,Orange_
Batch,Arch_AWS-Batch_64.svg,Orange_
Beanstalk,Arch_AWS-Elastic-Beanstalk_64.svg,Orange_
Fargate,Arch_AWS-Fargate_64.svg,Orange_
ImageBuilder,Arch_Amazon-EC2-Image-Builder_64.svg,Orange_
VMC,Arch_VMware-Cloud-on-AWS_64.svg,Orange_
ECR,Arch_Amazon-Elastic-Container-Registry_64.svg,Orange_
ECS,Arch_Amazon-Elastic-Container-Service_64.svg,Orange_
EKS,Arch_Amazon-Elastic-Kubernetes-Service_64.svg,Orange_
EKS-A,Arch_Amazon-EKS-Anywhere_64.svg,Orange_
ECS-A,Arch_Amazon-ECS-Anywhere_64.svg,Orange_	
S3,Arch_Amazon-Simple-Storage-Service_64,Green_
Backup,Arch_AWS-Backup_64.svg,Green_
EFS,Arch_Amazon-EFS_64.svg,Green_
EBS,Arch_Amazon-Elastic-Block-Store_64.svg,Green_
FSX-Lustre,Arch_Amazon-FSx-for-Lustre_64.svg,Green_
DynamoDB,Dynamo,Blue_
Aurora,Arch_Amazon-Aurora_64.svg,Blue_
Elasticache,Arch_Amazon-ElastiCache_64.svg,Blue_
Neptune,Arch_Amazon-Neptune_64.svg,Blue_
RDS,Arch_Amazon-RDS_64.svg,Blue_
Route53,Arch_Amazon-Route-53_64.svg,Purple_
CloudFront,Arch_Amazon-CloudFront_64.svg,Purple_
TGW,Arch_AWS-Transit-Gateway_64.svg,Purple_
VPN,rch_AWS-Site-to-Site-VPN_64.svg,Purple_
PrivateLink,Arch_AWS-PrivateLink_64.svg,Purple_
DX,Arch_AWS-Direct-Connect_64.svg,Purple_
CloudWAN,Arch_AWS-Cloud-WAN_64.svg,Purple_
IAM,Arch_AWS-Identity-and-Access-Management_64.svg,Red_
KMS,Arch_AWS-Key-Management-Service_64.svg,Red_
Directory,Arch_AWS-Directory-Service_64.svg,Red_
Firewall,Arch_AWS-Network-Firewall_64.svg,Red_
RAM,Arch_AWS-Resource-Access-Manager_64.svg,Red_
Security-Hub,Arch_AWS-Security-Hub_64.svg,Red_
Shield,Arch_AWS-Shield_64.svg,Red_
WAF,Arch_AWS-WAF_64.sv,Red_
Cognito,Arch_Amazon-Cognito_64.svg,Red_
GuardDuty,Arch_Amazon-GuardDuty_64.svg,Red_
Inspector,Arch_Amazon-Inspector_64.svg,Red_
Macie,Arch_Amazon-Macie_64.svg,Red_
API-GW,Arch_Amazon-API-Gateway_64.svg,Pink_
Step,Arch_AWS-Step-Functions_64.svg,Pink_
Event-Bridge,Arch_Amazon-EventBridge_64.svg,Pink_
App-Sync,Arch_AWS-AppSync_64.svg,Pink_
SNS,Arch_Amazon-Simple-Notification-Service_64.svg,Pink_
SQS,Arch_Amazon-Simple-Queue-Service_64.svg,Pink_
CodePipeline,Arch_AWS-CodePipeline_64.svg,Blue2_
CodeCommit,Arch_AWS-CodeCommit_64.svg,Blue2_
CodeDeploy,Arch_AWS-CodeDeploy_64.svg,Blue2_
CodeBuild,Arch_AWS-CodeBuild_64.svg,Blue2_
X-Ray,Arch_AWS-X-Ray_64.svg,Blue2_
Cloud9,Arch_AWS-Cloud9_64.svg,Blue2_
